Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
jalan klang lama (old klang road),2,2.0,1.0,Condominium,Partly Furnished,EndLot,Built-up,731.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,800.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Land area,800.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,958.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
desa petaling,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1009.0,Low
taman desa,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,715.0,Low
jalan klang lama (old klang road),3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,971.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1087.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1000.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1024.0,Low
kuchai lama,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1070.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,714.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Corner,Land area,1137.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1024.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,801.0,Low
sri petaling,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Land area,1138.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,950.0,Low
