Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1700.0,Extremely High
wangsa maju,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1668.0,Extremely High
taman tun dr ismail,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1840.0,Extremely High
mont kiara,4,3.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1756.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1200.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1668.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
dutamas,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2656.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1893.0,Extremely High
kl eco city,2,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1076.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2070.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1668.0,Extremely High
sentul,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2049.0,Extremely High
dutamas,4,3.0,3.0,Condominium,Unfurnished,Penthouse,Built-up,1854.0,Extremely High
bangsar,3,2.0,3.0,Condominium,Fully Furnished,Intermediate,Land area,1550.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Fully Furnished,Corner,Built-up,2128.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unfurnished,Corner,Built-up,2128.0,Extremely High
mont kiara,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1572.0,Extremely High
klcc,2,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,753.0,Extremely High
desa parkcity,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1346.0,Extremely High
dutamas,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2000.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1838.0,Extremely High
desa parkcity,2,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1303.0,Extremely High
jalan klang lama (old klang road),3,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1691.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1603.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,EndLot,Built-up,871.0,Extremely High
mont kiara,5,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,2085.0,Extremely High
jalan klang lama (old klang road),3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1707.0,Extremely High
kl sentral,3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1441.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,2160.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1200.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1356.0,Extremely High
pantai,5,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1646.0,Extremely High
klcc,2,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1356.0,Extremely High
desa parkcity,4,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1292.0,Extremely High
taman tun dr ismail,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1826.0,Extremely High
bukit tunku (kenny hills),4,4.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,2174.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Extremely High
mont kiara,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1200.0,Extremely High
jalan klang lama (old klang road),4,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,2128.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unknown,Penthouse,Built-up,2128.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unknown,Penthouse,Built-up,2128.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unknown,Penthouse,Built-up,2128.0,Extremely High
mont kiara,5,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1650.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1871.0,Extremely High
jalan klang lama (old klang road),3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1707.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1507.0,Extremely High
ampang,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1733.0,Extremely High
kl sentral,3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1543.0,Extremely High
kl city,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,946.0,Extremely High
jalan klang lama (old klang road),3,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1707.0,Extremely High
desa parkcity,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1653.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1871.0,Extremely High
mont kiara,5,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2208.0,Extremely High
jalan klang lama (old klang road),3,3.0,3.0,Condominium,Partly Furnished,Corner,Built-up,2128.0,Extremely High
desa parkcity,4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
taman desa,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1712.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1367.0,Extremely High
jalan klang lama (old klang road),4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,2128.0,Extremely High
city centre,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2111.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1668.0,Extremely High
mont kiara,4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1839.0,Extremely High
jalan klang lama (old klang road),4,4.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,2128.0,Extremely High
mont kiara,5,4.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,2085.0,Extremely High
klcc,2,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,871.0,Extremely High
klcc,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1070.0,Extremely High
dutamas,4,4.0,2.0,Condominium,Partly Furnished,Corner,Land area,1994.0,Extremely High
brickfields,5,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1727.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1668.0,Extremely High
damansara heights,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1410.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1668.0,Extremely High
bukit jalil,4,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1878.0,Extremely High
keramat,4,3.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1690.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unfurnished,Corner,Built-up,2128.0,Extremely High
taman tun dr ismail,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1890.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1600.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1572.0,Extremely High
pantai,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1646.0,Extremely High
city centre,2,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2647.0,Extremely High
setapak,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1746.0,Extremely High
bangsar,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1859.0,Extremely High
desa parkcity,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1346.0,Extremely High
damansara heights,3,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1938.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2070.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1678.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1420.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1701.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
bangsar,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1910.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2208.0,Extremely High
taman desa,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1712.0,Extremely High
bukit jalil,4,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1878.0,Extremely High
dutamas,5,4.0,3.0,Condominium,Unfurnished,Intermediate,Land area,2070.0,Extremely High
desa parkcity,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1507.0,Extremely High
desa parkcity,4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
klcc,2,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,871.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,1572.0,Extremely High
bangsar,2,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1200.0,Extremely High
desa parkcity,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1572.0,Extremely High
desa parkcity,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1572.0,Extremely High
klcc,3,2.0,1.0,Condominium,Fully Furnished,Corner,Land area,1500.0,Extremely High
klcc,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,801.0,Extremely High
desa parkcity,4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1680.0,Extremely High
dutamas,4,4.0,3.0,Condominium,Unfurnished,Corner,Built-up,2400.0,Extremely High
desa parkcity,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1432.0,Extremely High
kl sentral,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1130.0,Extremely High
cheras,5,4.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,2059.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
city centre,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1464.0,Extremely High
bangsar,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1750.0,Extremely High
mont kiara,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1603.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Extremely High
mont kiara,5,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2430.0,Extremely High
klcc,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1659.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Unfurnished,Corner,Built-up,1389.0,Extremely High
mont kiara,4,3.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1641.0,Extremely High
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Corner,Land area,1420.0,Extremely High
dutamas,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1707.0,Extremely High
wangsa maju,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2032.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,4,3.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,1756.0,Extremely High
bangsar,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1740.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,3000.0,Extremely High
bukit jalil,4,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1878.0,Extremely High
jalan klang lama (old klang road),4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,2119.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,4,3.0,3.0,Condominium,Fully Furnished,Corner,Built-up,1756.0,Extremely High
klcc,2,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,871.0,Extremely High
mont kiara,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Land area,1868.0,Extremely High
mont kiara,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1722.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,871.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1420.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
klcc,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1356.0,Extremely High
cheras,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1808.0,Extremely High
pantai,5,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1646.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1356.0,Extremely High
keramat,3,3.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1690.0,Extremely High
mont kiara,3,3.0,1.0,Condominium,Fully Furnished,EndLot,Built-up,1200.0,Extremely High
jalan klang lama (old klang road),4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,2638.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,2418.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2070.0,Extremely High
taman tun dr ismail,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1600.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Extremely High
jalan klang lama (old klang road),4,4.0,3.0,Condominium,Partly Furnished,Intermediate,Land area,2378.0,Extremely High
kl sentral,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1584.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
city centre,5,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2380.0,Extremely High
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1678.0,Extremely High
taman tun dr ismail,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1800.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2000.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1871.0,Extremely High
desa parkcity,2,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1480.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
kl eco city,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,950.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,2128.0,Extremely High
mont kiara,3,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1448.0,Extremely High
desa parkcity,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1389.0,Extremely High
pantai,5,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1650.0,Extremely High
bukit jalil,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1678.0,Extremely High
taman desa,4,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,2059.0,Extremely High
klcc,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1356.0,Extremely High
bukit tunku (kenny hills),4,4.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,2002.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
bukit jalil,4,4.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,1878.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,3100.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,867.0,Extremely High
mont kiara,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,2002.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1701.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1722.0,Extremely High
klcc,3,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,871.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Fully Furnished,Corner,Built-up,2128.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1701.0,Extremely High
taman desa,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1784.0,Extremely High
mont kiara,5,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1603.0,Extremely High
kl sentral,3,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1441.0,Extremely High
taman desa,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1712.0,Extremely High
bangsar,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1910.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1678.0,Extremely High
kl sentral,3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1459.0,Extremely High
bangsar,2,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1200.0,Extremely High
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1678.0,Extremely High
desa parkcity,4,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
dutamas,4,4.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,2400.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Unfurnished,Corner,Built-up,2400.0,Extremely High
mont kiara,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1668.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1270.0,Extremely High
kl sentral,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Land area,1135.0,Extremely High
ampang hilir,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1900.0,Extremely High
mont kiara,5,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2000.0,Extremely High
kl sentral,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1135.0,Extremely High
bangsar,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1500.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,2002.0,Extremely High
bangsar,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1750.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Corner,Land area,1688.0,Extremely High
dutamas,5,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1990.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1973.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1700.0,Extremely High
desa parkcity,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1292.0,Extremely High
kl sentral,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1532.0,Extremely High
klcc,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1590.0,Extremely High
klcc,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,871.0,Extremely High
kl sentral,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1135.0,Extremely High
mont kiara,3,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1641.0,Extremely High
taman tun dr ismail,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1816.0,Extremely High
kl sentral,3,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1441.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1701.0,Extremely High
bangsar,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1200.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1668.0,Extremely High
bangsar,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1400.0,Extremely High
desa parkcity,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1701.0,Extremely High
ampang,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2131.0,Extremely High
desa parkcity,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1357.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,2002.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2028.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1838.0,Extremely High
desa parkcity,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1360.0,Extremely High
damansara heights,3,3.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1873.0,Extremely High
kuchai lama,5,4.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,2903.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2163.0,Extremely High
brickfields,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1920.0,Extremely High
bukit tunku (kenny hills),3,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1780.0,Extremely High
dutamas,4,4.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1876.0,Extremely High
klcc,2,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,871.0,Extremely High
wangsa maju,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2032.0,Extremely High
klcc,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2200.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1668.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Fully Furnished,Intermediate,Built-up,2128.0,Extremely High
jalan klang lama (old klang road),5,4.0,3.0,Condominium,Unknown,Penthouse,Built-up,2128.0,Extremely High
desa parkcity,3,3.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1701.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Fully Furnished,Corner,Built-up,2028.0,Extremely High
klcc,4,4.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,2200.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1550.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1356.0,Extremely High
bangsar,3,2.0,1.0,Condominium,Unknown,Corner,Built-up,1700.0,Extremely High
desa parkcity,4,3.0,3.0,Condominium,Fully Furnished,Corner,Built-up,1701.0,Extremely High
city centre,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2633.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,2070.0,Extremely High
desa parkcity,4,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1572.0,Extremely High
taman desa,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1712.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2885.0,Extremely High
klcc,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1356.0,Extremely High
dutamas,4,4.0,3.0,Condominium,Partly Furnished,Corner,Built-up,1974.0,Extremely High
segambut,4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1856.0,Extremely High
kl sentral,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1346.0,Extremely High
klcc,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1619.0,Extremely High
mont kiara,3,2.0,3.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Extremely High
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,2160.0,Extremely High
bukit jalil,4,3.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1700.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,2163.0,Extremely High
klcc,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,801.0,Extremely High
ampang hilir,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,997.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,871.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,871.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,871.0,Extremely High
klcc,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,871.0,Extremely High
mont kiara,4,4.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1603.0,Extremely High
kl eco city,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,969.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1603.0,Extremely High
klcc,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,871.0,Extremely High
bukit jalil,4,4.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1878.0,Extremely High
klcc,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1111.0,Extremely High
jalan klang lama (old klang road),4,4.0,3.0,Condominium,Unfurnished,Corner,Built-up,2378.0,Extremely High
mont kiara,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1838.0,Extremely High
bukit bintang,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1555.0,Extremely High
desa parkcity,3,2.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,1377.0,Extremely High
dutamas,5,4.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,2070.0,Extremely High
